#time-us	inter1	inter2	sxr-Al	sxr-Zr	
1.393563E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.393663E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.393763E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.393863E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.393963E+2	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
1.394063E+2	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
1.394163E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.394263E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.394363E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.394463E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.394563E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.394663E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.394763E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.394863E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.394963E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.395063E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.395163E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.395263E+2	7.507200E-4	-1.399846E-2	-6.248320E-3	-3.748736E-3
1.395363E+2	7.507200E-4	-1.399846E-2	-6.248320E-3	-3.748736E-3
1.395463E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.395563E+2	7.507200E-4	-2.024845E-2	-1.249830E-2	-3.748736E-3
1.395663E+2	7.507200E-4	-2.024845E-2	-1.249830E-2	-3.748736E-3
1.395763E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.395863E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.395963E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.396063E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.396163E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.396263E+2	7.507200E-4	-2.024845E-2	-1.249830E-2	-3.748736E-3
1.396363E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.396463E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.396563E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.396663E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.396763E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.396863E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.396963E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.397063E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.397163E+2	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
1.397263E+2	7.507200E-4	-2.024845E-2	-1.249830E-2	-9.998720E-3
